id,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC,F1parent
21_166,42,4.10666666666667,0,0,-,-,45.1,30.7,-2.06666666666667,-,6.36666666666667,49.9333333333333,21.1,4.36666666666667,48.1666666666667,9.03333333333333,5.7,3.43333333333333,2.5,41.0333333333333,28.6771428571429,29.3571428571429,0,39
21_081,63.3333333333333,5.47,1,1,89.75,6.55,48.55,34.3,-2.4,23,10.2,55.425,28.7,6.725,52.975,10.3,6.075,2.95,2.7,40.375,41.8266666666667,32,6.36666666666667,39
21_167,46.6666666666667,4.61,1,1,161.1,9.4,47.025,28.7,-3.8,11.75,7.425,58.2,28.875,5.25,54.4,11.3,6.925,2.525,2.8,45.125,38.4975,34.625,1.4,39
21_086,23,4.43,1,1,143.733333333333,12.1666666666667,53.275,32.725,-0.175,11.5,8.925,55.55,25.95,5.525,55.375,10.4,6.45,2.8,2.925,44.35,36.87,35.2,6.92,39
21_054,15.1666666666667,5.29333333333333,1,0,0,0,43.975,26.95,-1.7,16,7.175,49.975,25.775,7.375,48.275,8.775,6.35,2.65,2.5,39.2,34.672,30.7,7.16,39
21_053,35.4285714285714,4.61714285714286,1,1,2,0,45.6,29.3,-1.9,20.6666666666667,7.56666666666667,51.3666666666667,27.2,5.26666666666667,49.4666666666667,9.63333333333333,5.93333333333333,2.1,2.73333333333333,41.9,57.0957142857143,33.4285714285714,2.71428571428571,39
21_051,53,4.74,1,1,-,-,50.3666666666667,30.9333333333333,-3.9,21,8.53333333333333,58,25.7,5.5,54.1,9.7,6.53333333333333,3.13333333333333,3.16666666666667,44.6333333333333,-,-,-,39
21_124,33,6.2,1,1,3.05,1.055,47.275,27.075,-0.675,19.25,9.975,53.1,21.65,7.3,52.375,8.65,5.625,2.55,2.8,40.425,20.83,31.25,0.6,39
21_169,45,6.98,1,0,-,-,48.85,31.15,-5.65,21,8.55,58.7,30.3,2.85,53.05,10.85,7.05,2.5,2.7,43.8,59.26,33,7.6,39
21_049,39.75,4.9825,1,0,0,0,49.48,29.86,-2.58,16.4,9.68,57.28,28.88,5.76,54.7,9.7,6.64,3.34,2.98,44.16,39.51,31.875,4,39
21_170,33,5.62,1,1,-,-,54.175,33,-6,16.25,9.675,61.2,27.9,4.9,55.2,10.025,6.725,2.925,3.15,44.05,42.8033333333333,30.8333333333333,-,39
21_048,19.75,5.2275,1,1,36.2333333333333,8.06666666666667,44.25,27,-4.2,25,7.025,53.025,22.3,4.925,48.875,8.425,5.275,2.7,2.75,40.2,30.5833333333333,32.9166666666667,1.26666666666667,39
21_172,0,3.27,1,1,91.8666666666667,8.8,44.2,28.84,-3.34,27.2,6.76,51.34,21.92,7.46,48.56,8.38,5.46,2.46,2.76,43.1,24.5083333333333,27.7916666666667,0.966666666666667,39
21_173,33.25,4.4325,1,1,94.65,10,46.65,30,-0.0499999999999999,15.5,10.375,54.325,23.525,4.775,54.275,9.575,5.225,3,2.925,42.225,42.425,30,5.5,39
21_047,98,4.17,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.8,24,0.8,39
19_633,52,5.4,0,1,110.8,11.25,43.2,29.2,-1.525,25.5,7.925,52.125,26.675,7.225,50.6,9.625,6.85,2.925,2.975,37.525,30.35,25.625,1.0625,62
19_748,23,7.3,1,0,-,-,45.0766666666667,29.6666666666667,-2.46666666666667,25.6666666666667,5.33333333333333,53.2666666666667,25.1,4.3,50.8,8.7,7.5,2.7,3,36.4666666666667,38.59,34,0.5,62
19_751,36.5,4.2,1,1,6.35,1.15,42.65,28.125,-1.4,24.75,4.4,49.75,19.025,5.025,48.35,7.525,6.95,2.6,2.675,32.5,40.49,31.375,0.6875,62
19_753,37.5,6.575,1,1,19.7,2.8,44.85,29.675,-0.875,23.25,5.375,52.7,23.05,6.5,51.825,8,6.65,2.875,3.275,38.925,28.75,32.25,1.1875,62
19_755,60.6666666666667,3.995,1,1,32.4,5.3,45.85,29.6,-3.875,22.75,4.925,51.05,22.525,5.325,47.175,8.025,7.15,2.7,3.125,31,30.305,28.6875,1.06875,62
19_757,38,5.25,-,0,0,0,39.925,24.325,-2.175,19.75,5.15,50.825,22.85,6.6,48.65,8.9,7.35,2.875,3.1,33.925,20.9425,32.375,0.625,62
20_001,29.25,5.375,1,0,0.65,0,42.875,30.2,-1.95,25.5,5.3,49.5,23.6,7.65,47.55,8.125,6.375,2.975,3.025,36.125,26.445,29.5,1.6875,62
20_3,24,5.95,0,-,-,-,39.1,23.7,1.9,23,3.4,49.5,17.1,3.3,51.4,8.4,5.9,2.5,2.9,38.5,-,-,-,62
20_4,96.8,4.482,1,0,-,-,46.475,31.55,-2.875,17.25,6.825,56.775,25.375,6.025,53.9,9.925,7.075,2.875,3,45.15,30.37,27,1.1,62
20_7,52.3333333333333,6.23333333333333,0,1,97.4,11.3,48.8,31.35,-1.7,18,5.05,55.375,22.15,3.05,53.675,8.2825,6.375,2.875,3.3,37.325,32.475,26.625,0,62
20_9,41,5,1,1,0,0,44.825,28.05,-2.175,21.75,5.1,53.275,22.45,6.025,51.1,9.225,6.4,3,2.6,35.15,33.6333333333333,32,0.833333333333333,62
20_10,71.6666666666667,6.01333333333333,0,1,33.9,6.6,47.6,26.1,-3.3,24,5,57.4,17.7,5.6,54.1,7.7,7.1,3.5,3,42.6,30.648,21,0.48,62
20_14,24.5,3.76,1,-,1.1,0.1,42.025,26.575,1.4,20,6.125,50.125,21.25,6.125,51.525,7.95,5.6,2.6,2.825,33.65,30.1675,25.625,0.125,62
20_015,31.5,4.265,1,1,-,-,42.78,28.28,-4.58,12,6.18,53.42,22,8.16,48.76,9.24,7.02,3.02,3.28,40.76,32.558,24.2,0.88,62
19_636,51.3333333333333,4.62,1,0,0,0,39.375,25.675,-1.225,28.25,3.1,46.25,16.3,3.925,45.025,7.575,5.75,3.2,3.05,36.05,23.1288888888889,35.1666666666667,2.57222222222222,62
20_016,57,5.1,0,0,-,-,44.4,28.65,-2.15,24.75,6.575,51.825,24.5,6.325,49.675,9.125,6.525,2.9,2.9,37.725,14.49,32.5,0,62
20_018,37.4,4.93,1,0,0,0,41.2,26.65,-1.55,26.75,6.525,47.5,23.225,6.5,45.95,8.85,6.1,3.15,2.275,33.75,30.2366666666667,29.25,2.85,62
20_21,47,3.2,0,1,-,-,51,30.8666666666667,-4.1,15.6666666666667,6.56666666666667,58.8333333333333,28.4333333333333,3,54.7333333333333,8.93333333333333,6.56666666666667,2.7,3.23333333333333,41.4333333333333,35.52,29,0,62
20_22,37.25,6.075,1,0,0,0,41.225,27.275,-1.65,25,4.45,49,24.25,4.85,47.35,9.95,6.5,3.2,2.725,34.65,62.7625,30,1.5,62
20_23,42.6666666666667,4.93333333333333,1,0,0,0,44.775,26.825,-2.575,22.25,6.075,55.15,24.3,7.525,52.575,9.225,6.65,2.975,2.975,38.725,35.745,34.375,0.1875,62
20_24,49,4.2,0,0,-,-,42.3,26.8,-0.2,22,8.8,52.3,25.7,7.2,52.1,9,6.3,2.3,3.1,45.9,38.09,31.8333333333333,0.833333333333333,62
20_25,39,4.9,0,1,12.8,2.2,44.3333333333333,28.9333333333333,-1.53333333333333,21.6666666666667,6.13333333333333,54.4,19.3666666666667,5.76666666666667,52.8666666666667,8.43333333333333,6.4,2.8,2.56666666666667,36.1666666666667,59.38,30.375,0.25,62
20_26,52.5,4.325,0,0,-,-,39.65,22.1,-1.25,19,5.5,49.55,20.1,3.6,48.3,8.2,5.75,3.15,2.45,33,26.905,28.625,0.4375,62
19_637,19,4.9,0,0,2.7,0.1,43.7,29.9,-3.2,20,4.9,52.2,23.1,4.6,49,8.9,5.9,2.7,3.5,39.7,35.46,31.5,0,62
20_27,49.6666666666667,3.90666666666667,1,0,0.001,0,41.225,27.05,-0.975,21.25,6.325,48.3,23.4,5.95,47.325,8.15,7.15,2.725,2.825,33.325,48.796,30.4,1.06,62
20_28,57,5.22,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.04,29,-,62
20_30,83,6.43,-,1,-,-,48.775,30.125,-2.45,16.5,4.85,58.1,19.85,3.55,55.65,8.375,6.675,2.9,2.875,41.625,40.045,35.375,0.375,62
20_31,58.4,5.97,1,0,0,0,42.2,27.075,-1.325,19.75,5.175,52.075,23.05,4.525,50.75,8.125,7.775,2.85,2.925,40.275,30.4511111111111,29.6111111111111,1.42222222222222,62
20_034,52,6.75,1,1,57.35,2.45,39.35,25.1,-2.6,20,3.375,50.05,20.125,3.3,47.45,7.625,7.175,2.425,2.725,27.95,28.8775,32.75,1.125,62
20_35,51,6.6,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.09,28.75,0,62
20_38,50,6,1,1,75.9,10.6,42.9,26.8,-2.1,18,3.7,48.3,25.5,5.7,46.2,9.9,6.8,3,2.5,34.3,46.63,24.25,4.125,62
20_39,43,5.39,-,0,0,0,43.7,27.7,-1.325,13.75,5.6,50.2,22.025,6.925,48.875,9.025,7.1,2.925,3.1,40.075,37.24,33.6666666666667,3.17777777777778,62
20_40,40.25,5.675,0,0,0,0,42.65,28.075,2.475,23,5.825,50.1,21.45,5.75,52.575,8.2,7.325,2.6,2.925,36.475,31.39,34,0.1875,62
20_41,41,5.2425,1,1,5.3,0.1,42.6,25.85,-0.9,21.25,6.825,50.575,19.025,6.725,49.675,8,6.5,3.05,2.65,33.5,29.39625,32,1.33125,62
20_44,111,4.615,1,1,-,-,51.66,32.64,-2.46,24.8,9.02,58.36,29.62,8.32,55.9,10,7.42,2.72,3.26,45.9,22.73,36.2,3.4,62
21_021,0,5,1,0,-,-,44.6,27.875,-1.975,22.25,7.1,50.45,24.875,5.9,48.475,9.75,7.325,3.05,3.1,39.225,23.3,31,10,62
19_639,40.6666666666667,6.82,-,1,-,-,46.775,29.2,-2.025,20.5,4.625,55.15,18.25,5.15,53.125,7.175,6.825,2.775,2.95,40.725,39.6788888888889,33.3333333333333,3.41666666666667,62
21_018,64.4,6.978,1,0,-,-,48.45,29.275,-0.675,26.75,6.7,55.05,28.525,7.35,54.375,9.7,-,2.525,2.8,34.075,25.4675,33.125,4.875,62
20_050,72,5.64333333333333,1,1,-,-,46.2333333333333,29.5833333333333,-4.98333333333333,15.6666666666667,7.28333333333333,55.1833333333333,23.9333333333333,5.65,50.2,9.51666666666667,6.45,2.65,3.13333333333333,43.45,49.998,30,5.92,62
20_54,61.2,6.39,0,1,46.2,8,41.505,26.5,-0.15,34.25,6.25,49.85,23.925,5.1,49.7,8.925,7.675,2.625,-,35.5,25.8385714285714,29.3571428571429,3.01428571428571,62
20_55,42,4.8,0,1,10.75,1,41.8,26.75,-3.525,18.25,3.9,51.3,22.075,5.375,47.775,8.7,7.075,3.325,2.925,35.425,33.95,27.25,1.1875,62
