#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
Chrom2	56700000	56800000	0.572600	0.427400	29234	22818	19922	28026	0	0	100000
Chrom2	56800000	56900000	0.577990	0.422010	28219	20023	22178	29580	0	0	100000
Chrom2	56900000	57000000	0.580400	0.419600	29495	21398	20562	28545	0	0	100000
Chrom2	57000000	57100000	0.596510	0.403490	29807	20456	19893	29844	0	0	100000
Chrom2	57100000	57200000	0.596080	0.403920	30659	21384	19008	28949	0	0	100000
Chrom2	57200000	57300000	0.575480	0.424520	28688	21204	21248	28860	0	0	100000
Chrom2	57300000	57400000	0.611640	0.388360	30012	20034	18802	31152	0	0	100000
Chrom2	57400000	57500000	0.615910	0.384090	30701	19317	19092	30890	0	0	100000
Chrom2	57500000	57600000	0.601900	0.398100	29856	19843	19967	30334	0	0	100000
Chrom2	57600000	57700000	0.582470	0.417530	29264	20917	20836	28983	0	0	100000
Chrom2	57700000	57800000	0.570370	0.429630	28001	21935	21028	29036	0	0	100000
Chrom2	57800000	57900000	0.589110	0.410890	28600	20566	20523	30311	0	0	100000
Chrom2	57900000	58000000	0.609210	0.390790	30652	19669	19410	30269	0	0	100000
Chrom2	58000000	58100000	0.583930	0.416070	29136	21563	20044	29257	0	0	100000
Chrom2	58100000	58200000	0.599520	0.400480	30797	20880	19168	29155	0	0	100000
Chrom2	58200000	58300000	0.589070	0.410930	28594	20678	20415	30313	0	0	100000
Chrom2	58300000	58400000	0.588680	0.411320	30227	22093	19039	28641	0	0	100000
Chrom2	58400000	58500000	0.574900	0.425100	28710	21514	20996	28780	0	0	100000
Chrom2	58500000	58600000	0.588460	0.411540	29374	20525	20629	29472	0	0	100000
Chrom2	58600000	58700000	0.596240	0.403760	28531	18752	21624	31093	0	0	100000
Chrom2	58700000	58800000	0.591140	0.408860	29255	20194	20692	29859	0	0	100000
Chrom2	58800000	58900000	0.598730	0.401270	30163	20273	19854	29710	0	0	100000
