unique_ID,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC
62_324,26.25,4.825,TRUE,TRUE,25.25,1.3,37.95,23.65,-0.925,21,2.95,46.975,16.575,5.3,46.05,7.4,6.25,3.1,2.925,37.675,12.66125,30.625,0.88473625
62_327,58.5,5.65,NA,FALSE,NA,NA,44.4666666666667,27.9666666666667,-1.6,22.3333333333333,5.26666666666667,51.9333333333333,25,5.7,50.4333333333333,10,6.46666666666667,3.03333333333333,3.16666666666667,38.5,13.8566666666667,36.6666666666667,2.04255933333333
62_332,49.8,5.424,TRUE,TRUE,48.3,2.15,39.12,24.26,-3,17.8,4.18,48.58,19.44,4.4,45.6,8.54,6.22,3.12,2.94,36.95,8.2525,26.0625,0.188185
62_338,40.8,4.536,TRUE,TRUE,65.2,NA,47.25,31.875,-1.325,23.25,9.975,52.875,26,9.075,51.55,9.375,7.525,2.775,3.2,38.5,12.768,34.4,6.452008
62_355,27.6666666666667,4.69833333333333,TRUE,FALSE,0.006,0,41.25,26.625,-0.6,23.25,5.975,48.275,21.075,7.6,47.675,7.675,6.025,2.7,2.7,34.425,16.3808333333333,25.5833333333333,4.48965633333333
62_359,27.8,5.532,TRUE,FALSE,0,0,39.0166666666667,25.0833333333333,1.56666666666667,25,5.3,45.3333333333333,19.4833333333333,3.88333333333333,46.9166666666667,8.71666666666667,5.91666666666667,3.08333333333333,2.56666666666667,35.9166666666667,9.83333333333333,35.1666666666667,2.156404
62_365,70,4.98,TRUE,TRUE,NA,NA,48.28,31.34,-4.82,15.2,7.5,55.5,26.4,7.14,50.68,10.5,7.34,3,3.26,41.28,27.66,32,6.34866
62_370,23,4.9,TRUE,TRUE,53.7,2.9,44.475,28.925,-2.325,21,6.875,51.075,20.825,5.95,48.75,8.5,6.425,3.075,3.125,33.15,12.17375,30.125,0.7537125
62_5,42.25,5.725,FALSE,TRUE,8.1,0.75,45,25.46,-2.16,25.8,4.82,52.24,18,3.58,50.08,7.06,6.88,2.6,2.66,37.1,18.49125,34.75,0.6276075
62_57,37.75,4.85,TRUE,TRUE,13.25,6.6,43.12,28.1,-1.12,23.8,6.34,50.52,25.84,8.08,49.4,10.02,6.56,3.3,2.78,36.78,12.87,26.2,2.0575864
