id,S1U_bract,S1V_bract,S1B_bract,S1G_bract,S1R_bract,S5_bract,S9_bract.x,H4_bract,B3_petal,S1U_petal,S1V_petal,S1B_petal,S1Y_petal,S1R_petal,S5_petal,S9_bract.y,H4_petal,B3_labellum,S1B_labellum,S1Y_labellum,S1R_labellum,S5_labellum,S6_labellum,S9_bract,H3_labellum,H4_labellum
62_73,0.00803579109564059,0.0159538587691288,0.114516333866891,0.465786969300377,0.419708078792921,102.320519195595,0.851771163767419,0.911758016111537,0.892922214771845,0.0372827356968709,0.0393059069880675,0.0478065744675208,0.367853005751126,0.449950475515898,94.1377257346474,0.991464375177669,0.768134938877192,0.864783330296836,0.130828459218497,0.318933451290899,0.3989263102609,81.8226040013857,0.864783330296836,0.846313233398063,502,0.867195013780185
62_77,0.0134718607022743,0.0249616830230594,0.172238727894621,0.424252907936552,0.398155414520331,95.2447411185581,0.726686300492566,0.985222866173189,0.79911465085024,0.0490384039950995,0.0605175061689799,0.117883995442901,0.330372472805979,0.389862103648008,69.4000475756316,0.859821129170625,0.905594637014451,0.715979577824585,0.126773360585725,0.318169001935598,0.390911529885053,62.2175180569964,0.715979577824585,0.870926718956858,506,0.890335092471427
62_309,0.00298490282274634,0.00593545234605225,0.0500963168174494,0.533696974836044,0.420983870153078,99.0725490555704,0.952489640850453,0.894889205732569,0.865332044773624,0.0549199917404765,0.0566647131005638,0.0375256789584399,0.370115319002508,0.459089231278995,93.6072803431073,0.997752245067892,0.703996719744,0.860398616822039,0.0547569979105148,0.352565410504193,0.445936669226735,91.7250276952137,0.860398616822039,0.991125853542955,509,0.726485183074977
62_307,0.00914797015610793,0.0158733801582118,0.0781943591874479,0.433203611771005,0.486920027634081,114.050885788888,0.903406924284381,0.743776617215087,0.883656694283059,0.0492226176824377,0.0516230822586188,0.0412804487068981,0.369290088421591,0.461405261447985,96.973904678749,0.995859409386678,0.71256919113774,0.886168253829052,0.045332869414957,0.362783414755562,0.462621987599975,98.9368088733098,0.886168253829052,0.992826093775298,511,0.709189924033977
62_304,0.00668182360804954,0.0148154731884498,0.154738652467462,0.453354214917459,0.393483202715598,96.7955848556056,0.764274839957093,0.999094912066701,0.912366779909908,0.0549785724806447,0.0728370803279823,0.15740461249377,0.311336690903857,0.372846807872459,76.5425849622578,0.748517520928198,0.959940115008599,0.886415163767974,0.186115963569272,0.296257170646277,0.378789569487845,77.506783297965,0.886415163767974,0.689090312821386,495,0.974284798727148
62_303,0.0126115594663308,0.0279294686086621,0.226730856313089,0.392061827616706,0.37680882819805,95.6360773232318,0.553760220422285,1.09344721819533,0.93931526387767,0.0373435143719615,0.038433920732326,0.0274310435589866,0.386538732418262,0.479793361082864,107.890305182274,0.997240684121822,0.699053352447331,0.889930597657603,0.0467497350064115,0.363748110969421,0.461323198773363,99.5944522091931,0.889930597657603,0.991435860610505,511,0.71331650190299
62_60,0.0101560976010963,0.0194021743476526,0.153167122750675,0.505686885975425,0.339697298950425,84.601505674865,0.791805932580006,1.12417870265221,0.905595400607945,0.0718929827370661,0.0948343767523386,0.206369551475886,0.281063847358615,0.348185284525744,72.2238912662585,0.639859205226724,1.03548444009326,0.926432652712721,0.175223807784458,0.311492464858007,0.391659671308041,87.9448420573807,0.926432652712721,0.728353218439994,494,0.97358423403737
62_306,0.00336600420395733,0.00761935652744678,0.0729204280808715,0.468091443373665,0.463236489670094,112.494917017351,0.910086387017378,0.808763305898376,0.951150300819475,0.0123286577419209,0.0135788074911318,0.0214531161016994,0.405425035502552,0.517771360463391,117.859905922183,0.992575587872463,0.673586724834116,0.87427924567609,0.0455545680231416,0.366306672859767,0.47058340705318,98.2454537933197,0.87427924567609,0.996077212494306,512,0.720959414085852
125,0.00245764845149943,0.00444628240603613,0.0291616930009495,0.423118517126492,0.552043656633279,114.925320474333,0.969084782460288,0.620755625430071,0.952459319091111,0.0349913806657418,0.0356056520419128,0.0195436733636485,0.399814751302838,0.506292582206952,116.942997731269,0.996944557037333,0.645292728144357,0.943394855879768,0.0316636149963504,0.381155798365218,0.484222564775743,113.226657941565,0.943394855879768,0.994275141877918,515,0.676138195738252
62_144,0.00777188004642446,0.0188225305165498,0.189674800565526,0.408706308371151,0.401983233229843,105.58792190632,0.670501620479864,0.996827995550924,0.813504668718613,0.063688561466881,0.0789202867474451,0.125840423509811,0.327159854634911,0.399987467380664,76.4077078763563,0.827625412383391,0.841362738242076,0.835905836471986,0.170580157857126,0.310183914627042,0.385415104927588,76.4913936823246,0.835905836471986,0.720793448321697,500,0.954086326344014
62_152,0.00626685872365337,0.0147107938395815,0.132211969829211,0.427185750530028,0.442214146098541,111.859146007146,0.801050210628005,0.866004369670465,0.923898069810479,0.0498694994265999,0.051686338308799,0.0376088945160968,0.37372739977199,0.464717843890597,105.657074916339,0.992520969362729,0.703143270635046,0.78481805909394,0.0544285887748292,0.362694409788006,0.462969849714573,89.5753266066941,0.78481805909394,0.993350926533046,509,0.732648868238067
62_143,0.00386105203574732,0.00825739773755324,0.105193184083325,0.476530980217504,0.422608812162287,101.214297356015,0.891319336027698,0.909184977473702,0.85398919756621,0.0441134568502878,0.0541187766551409,0.0927729761367556,0.351454865336984,0.416755237836256,80.4781253039806,0.893475605404781,0.837431939765141,0.811230878875923,0.0928991293779752,0.336586964310552,0.41171307825414,75.2155007712661,0.811230878875923,0.917870321828142,509,0.824178945321216
62_59,0.00858721921563316,0.0173595660115405,0.145874514445992,0.474476041148895,0.379467940563626,91.2414756661329,0.802866318503131,1.02497094301304,0.814195625789181,0.0587236397155731,0.0761825517135793,0.157321383243521,0.311250629228747,0.378078631120727,70.987554233577,0.75192291401225,0.933623938607906,0.840390496225506,0.182408979450684,0.296672985345791,0.370643193892383,72.6988669626626,0.840390496225506,0.693645318721288,494,0.961473949652431
62_22,0.00577331744863623,0.0109993530032528,0.0699047233632396,0.455246136384915,0.47672330246316,117.010741993097,0.920758605162107,0.773865243369447,0.948708672462031,0.0536004253135431,0.0546754451393009,0.0258505429902825,0.380672373903549,0.472965829768622,107.654419470225,0.996936871993812,0.67534365334142,0.889752685117561,0.048771710061024,0.359693657127677,0.453591474633989,97.3489923665598,0.889752685117561,0.992412237552933,510,0.719628326200867
62_16,0.00723697878355825,0.0146853232468501,0.106169136096062,0.467918596009728,0.426811832034573,107.140982977096,0.864953891584759,0.892797729837515,0.950022477733722,0.0432514266205013,0.0444105363523559,0.0277070625691489,0.385746079667854,0.481681759140208,112.370310537285,0.994631436543774,0.680247198831064,0.871563449396395,0.0587542922255058,0.36142722479174,0.460350286570576,97.6288292308778,0.871563449396395,0.979325944116296,509,0.74946396633859
62_140,0.0108030000395186,0.0182295221027201,0.0916576644930517,0.452052884382652,0.453403740808746,106.602026975791,0.89044565849319,0.818653960145653,0.840270169769335,0.0692193157207128,0.070587202468828,0.0299927365336045,0.371971730204161,0.461118043978757,94.1142917014134,0.998413471843489,0.66297893050863,0.809448697491871,0.0491261228928094,0.349925374907259,0.443678617671082,87.4688636611823,0.809448697491871,0.992907546128907,510,0.673338168083091
62_261,0.00407974050563681,0.00951413157185009,0.0989625248864972,0.433304097784003,0.471429290456235,115.089387707147,0.876818911886252,0.794672210887369,0.91846164308935,0.0391232417020317,0.0418016368577179,0.0325198728832362,0.38047813806328,0.46753380907593,100.298928650163,0.998879986024599,0.72262097659935,0.873534008128852,0.0467502509248778,0.374314763358056,0.473845037165452,99.5838769084435,0.873534008128852,0.994176334085011,511,0.75366985678944
62_135,0.00334613572145734,0.00649675250142283,0.0517588539096244,0.461877120568188,0.490497789811672,114.697020161234,0.948010553504111,0.746949551857148,0.943812662920153,0.0355692327476538,0.0368702583943321,0.0284113772240819,0.386656471758139,0.484106161822338,110.712449068059,0.996293615546833,0.69336153147147,0.921542536662763,0.0423812438554682,0.36379085788336,0.459927912986602,102.231122680289,0.921542536662763,0.990935081678987,511,0.701332749929976
62_137,0.00539214866350361,0.0093032431722278,0.0924779950516351,0.532350165522253,0.378104168486708,86.4188687845042,0.914756363450407,1.00162006340695,0.929797162034888,0.0282240167809514,0.02997872272245,0.0327943782280807,0.383940709740028,0.468909710250453,100.941598981058,0.997965926954262,0.744548312033165,0.832027983044079,0.0979558898918191,0.334719313397504,0.412697187089259,79.889228149276,0.832027983044079,0.929693384709763,505,0.836363532872231
62_125,0.00735435387633302,0.0143878288148238,0.120380837287803,0.488544202143425,0.39206271073984,93.8595469731995,0.863393969693099,0.980180091798027,0.898049273988776,0.0576683190076216,0.072622138033077,0.127577688527572,0.323080115357598,0.396440210869651,80.9566104477757,0.825075497532868,0.869084394044728,0.865520526744455,0.138690805991105,0.312557849169997,0.39873038126052,80.0518410202222,0.865520526744455,0.823622034193243,503,0.867720790493508
62_134,0.0167830916156968,0.0306190369453774,0.201635306979142,0.44348284256811,0.346681222552587,76.3674592253673,0.71641945801036,1.14475937864404,0.806613095960639,0.0731526888478744,0.0930978520474372,0.180595851393925,0.292538044074607,0.347898997842106,61.6045793395036,0.692932562115913,1.01129702727748,0.906781462621859,0.107555059783658,0.341398301253368,0.41266130383912,85.6246532544733,0.906781462621859,0.859140209843226,510,0.850146186781528
62_83,0.00920816981232618,0.0154298540173005,0.0832057164897589,0.463704692472469,0.451804735990784,108.257419194976,0.90726027510965,0.823233795252541,0.865605908479993,0.0567715300330679,0.0661684144655133,0.108479226880128,0.330785250954201,0.412401046676598,85.0305977858539,0.891171184638062,0.821142011759643,0.842233564891547,0.0886497159727465,0.344788621574168,0.439718198896739,90.0883520136889,0.842233564891547,0.939808150894352,506,0.793847447697904
62_313,0.0116446135293174,0.0226152232550163,0.160651994828619,0.457007675629625,0.379135634103078,89.6734989531661,0.766790950472121,1.03153032807973,0.921209183443021,0.0477999411665829,0.058449619788201,0.0883577629206617,0.354121332209651,0.420043543183451,88.1208679615421,0.887301201951929,0.818946121267592,0.863728323559419,0.105935245301383,0.317009550201726,0.464647923918166,86.6283364910272,0.863728323559419,0.88253830725921,512,0.668219698846902
62_296,0.0181890888826317,0.0265841866177288,0.152578253831879,0.524544460553673,0.313008050740262,53.61880089143,0.874259223774687,1.17854771819393,0.85310557666531,0.0745009092713833,0.0886833302332289,0.141694953004295,0.307812168178157,0.376726219369872,73.635335238231,0.829130602455229,0.888573925724468,0.929908642108395,0.148841763201508,0.321172494445414,0.408174566320827,91.3838108873524,0.929908642108395,0.793930133220583,500,0.914311242649593
126,0.00312636982219614,0.005933420067657,0.0349953395578688,0.410441092643342,0.55827402206293,112.751940938368,0.959173035069868,0.604313767826437,0.962721263897098,0.0192821170140057,0.0197392253198926,0.0115918061911132,0.418647711850674,0.532057540963812,118.157105901102,0.999234972050354,0.627585065171485,0.948249043988005,0.0221723585737164,0.381478282072893,0.489644463866545,113.534349905445,0.948249043988005,0.995631277555902,518,0.60547257925236
62_87,0.0113719346605422,0.0204358489063729,0.147310963257819,0.490414514076837,0.35952539622791,77.4218834713143,0.824398315344449,1.0703048397201,0.906516759861848,0.0557913939359304,0.0580370706541664,0.0405311791144291,0.369112280131076,0.448402329370177,93.6849134533604,0.994082477196663,0.727063957652055,0.832153190814162,0.0835130307825882,0.340573398318807,0.419968174913287,80.2327958630297,0.832153190814162,0.959986464088076,507,0.820586560376846
62_370,0.0201564531497939,0.0356686813826008,0.181134332931184,0.398952202879596,0.407794424937011,97.2676076078807,0.697484595956786,0.95046601068521,0.874943097712771,0.0450464040469739,0.049743969134422,0.0544620391752547,0.360720455682786,0.439661950182755,87.9269260778523,0.997421930886711,0.774816602236434,0.866910694315427,0.132079447688303,0.316718301445748,0.402496673289101,81.183311511174,0.866910694315427,0.846104452949253,503,0.863203050512057
62_305,0.00529595549844781,0.0137033864791278,0.153311527196257,0.420223370398263,0.429089989549512,108.111024127413,0.762053317397244,0.910339704255867,0.901397657549229,0.052510024477822,0.063934375202904,0.0989633865610355,0.34376864611291,0.413278061304288,85.0426971358621,0.872350235441149,0.827473654527778,0.856639952927427,0.141189459772984,0.316169659276761,0.394869913268154,78.1892221631445,0.856639952927427,0.799287362946495,505,0.877135680012957
62_327,0.00926965013331092,0.0182667576791716,0.163233351466541,0.428477884251053,0.407228856830819,94.5973963415267,0.791502359030723,0.9638262408309,0.860596273875436,0.0439270484929552,0.0566882584860078,0.135887179218795,0.323697313251575,0.395802006835648,79.7455303577824,0.826919280747356,0.907343982188041,0.959509174020527,0.120740474098593,0.337922439608153,0.427054262922896,100.295360611089,0.959509174020527,0.867046642845155,503,0.869867345633155
62_21,0.00859650022816917,0.0160723649946042,0.11001430243602,0.451888240762972,0.437484056167193,99.3325229798832,0.855192412323587,0.866875214306364,0.93486243693263,0.0361359668029951,0.0372644822549661,0.0284880929835319,0.388436042454363,0.472219685331345,105.193780053319,0.997932743227593,0.718543266759866,0.926714457015413,0.0411482746760196,0.364325036939644,0.463140980274745,104.04087098564,0.926714457015413,0.992747143040414,511,0.697893122166129
62_153,0.00867869968174701,0.0167617383154703,0.116084731593237,0.448147271882834,0.4351605636672,107.065999062763,0.84314394551826,0.87286001348188,0.862351530665647,0.0494949618491995,0.0610558792140123,0.0965296876163282,0.349854845617903,0.417676575955874,83.0736660035363,0.874474283667193,0.822073190359784,0.856999935144036,0.0828049499585852,0.357642565824476,0.445458010444219,90.9316767897158,0.856999935144036,0.909501934042921,512,0.782641004564881
62_116,0.00686810188556228,0.0136533696787424,0.0993385230245166,0.451509432161844,0.450060018172691,106.411017403747,0.870518300448033,0.838695473598064,0.980869252414279,0.0269858704609267,0.0274850320072061,0.018356207851183,0.396814615867626,0.486494215075254,111.473370430284,0.998707144166355,0.708458816363467,0.9508537273586,0.035532391612774,0.374049889771381,0.48337119945943,110.561205965023,0.9508537273586,0.99519286933965,513,0.706095754543313
62_167,0.014338413977232,0.0238909857701811,0.132999862084218,0.486067914594207,0.375074417775992,86.4628634483653,0.83443949342624,1.01784567187699,0.61356583359054,0.0626839442666205,0.0729937449393576,0.0985840005887395,0.331844657953212,0.398870456297304,54.8386126697289,0.950164793938753,0.842031130277852,0.770084285278019,0.146281340056293,0.304534905021077,0.401837637975185,72.1154571233311,0.770084285278019,0.81395273994887,501,0.853491061752112
62_122,0.0128992206364709,0.0238816949791583,0.16515402463505,0.496213279988897,0.334382127817614,82.0496242682273,0.770809962038469,1.1450435752863,0.888248800214765,0.0693595779589396,0.0872069629505285,0.156819667919056,0.304539361937758,0.369552637713555,73.9832589741329,0.768643301960997,0.932857538983432,0.885419342673609,0.163335088068165,0.305633556217051,0.395815835650324,82.1514411559085,0.885419342673609,0.761561278332255,499,0.911577444769828
62_5,0.00811951501020533,0.0149418557068779,0.092765027324696,0.463442508224604,0.443587696191415,104.005420908913,0.883636499590986,0.849446600911582,0.929793319111314,0.0437508651466017,0.045483509169434,0.0402724338276631,0.371932716031001,0.443073652274652,94.00930038481,0.995442711404358,0.768630150927717,0.874941065608947,0.0632694331816907,0.359119907874997,0.448272619155295,92.2033030561107,0.874941065608947,0.975074934864396,510,0.776734650543863
62_103,0.00796166469756608,0.01345225036342,0.0743096258362914,0.525641024390324,0.400450865006211,96.807686177722,0.92249128972949,0.937923494826881,0.969487427757046,0.0271732208299187,0.0284736488412958,0.0208283310135682,0.400522186893013,0.498115503086983,120.150961029572,0.999306756501524,0.682181407501128,0.875113114393425,0.0414919577409592,0.35517559877308,0.512075622003697,98.5801323273294,0.875113114393425,0.996059302892828,514,0.587079352892411
62_13,0.00739018256687058,0.0126192618618059,0.0704109003625554,0.501531569096536,0.428785012533003,104.875058393106,0.920552974066668,0.875551692412914,0.945279056465714,0.0496204404899178,0.0511363902172365,0.0256113571085545,0.387081896004074,0.482569089909521,113.638431710797,0.998336532562883,0.662889538644876,0.851076937824071,0.0506704460625686,0.363173083970106,0.45764573381039,101.530709525163,0.851076937824071,0.988134719452773,508,0.694575826454586
62_19,0.00325623273541514,0.00671390932907474,0.05498513838994,0.418176871895422,0.530776839197356,115.484404104856,0.93073792343477,0.659503432661083,0.943117918229627,0.0373909504119193,0.0378368462137786,0.0195801462019754,0.403327938022419,0.500535232995182,115.128401125091,0.996941387144576,0.651636342145994,0.922047156631618,0.0367890656828456,0.36750412260583,0.469465296010532,110.878189385599,0.922047156631618,0.988797185325754,511,0.635125325076723
62_105,0.00467628227743879,0.00991601134339314,0.0855287938022975,0.43418481839998,0.483319146811464,116.848765436857,0.883306032763469,0.762037837073553,0.953349098919322,0.0322813551529225,0.033544812785673,0.0188265304488875,0.402655536192025,0.512967474620359,116.320077386368,0.997950754794586,0.637362212108221,0.843205146072982,0.0502282160120444,0.361880052314976,0.45554600647345,99.3544534520735,0.843205146072982,0.984557695846759,508,0.685369003818223
62_92,0.00838482501333999,0.014899013184117,0.0925236469964798,0.485397463826765,0.421982780236421,105.552227605604,0.892738236125092,0.895679733343271,0.811614796844282,0.048229338389146,0.0569232116746125,0.0766014072875692,0.357450403845576,0.445185048233476,90.5653688039106,0.915904792629772,0.752530315840784,0.885587030868531,0.137951323693347,0.325127781376968,0.413892768677849,94.1034108904854,0.885587030868531,0.784002314730811,502,0.820357135467074
62_136,0.00575821481640189,0.0103696413303125,0.0674289768965088,0.477232947325762,0.457631998190111,109.797033987773,0.922187578563808,0.811209723076347,0.965216840984532,0.0196867389224024,0.0200482623646395,0.0204065467456704,0.409698901520569,0.492792477076039,116.334483908257,0.999001307002724,0.709862122684953,0.929802702826715,0.0360542274464891,0.376347397808902,0.478759240795659,115.095109561448,0.929802702826715,0.993550697080518,511,0.66883975947815
62_214,0.00572382332370201,0.0129362622244642,0.120241304192053,0.413740663563291,0.468284931577396,110.917976548108,0.80264726838815,0.796753833548238,0.901021716882372,0.0550445908464746,0.0686346635030329,0.0962874570904288,0.355309172091401,0.438870123196951,99.2452812927966,0.859356680129461,0.749110122876703,0.776956898026262,0.109095718881706,0.331637222398107,0.436475860685126,83.0336584982716,0.776956898026262,0.85286870006532,506,0.716279442390449
62_17,0.00782860564761035,0.0137567285132617,0.101626429123291,0.492919098551974,0.405902744452779,96.4313123763647,0.88175573126652,0.937156410846684,0.881188154884727,0.0707998581226154,0.0730038436226111,0.0549839386509797,0.356182326145414,0.4449044297313,100.922596625804,0.981095328067832,0.696533251278997,0.807735917584021,0.0781354036891377,0.338682237536167,0.470411945256679,88.778788203472,0.807735917584021,0.947727716270286,507,0.656018909408688
62_96,0.0153397175178057,0.0262125595072584,0.1421127525977,0.448440174089961,0.402710396490334,106.642346186603,0.78249843936186,0.948710187189271,0.892635005713089,0.0545720858567831,0.0557440699496385,0.0377658200591316,0.381096219172534,0.473066225930593,107.862051170544,0.97700607137018,0.670266324263013,0.763602129030692,0.0925509098417184,0.347091493875891,0.432877696603345,87.6891577074405,0.763602129030692,0.904680751545735,503,0.741547485528528
62_258,0.011272671720971,0.018973155356933,0.101755633803329,0.501413369066381,0.394533620391152,100.907937988932,0.864364349960042,0.951923186274945,0.821941452831147,0.0589718073246265,0.0679363694767292,0.0915966023106438,0.355189447122968,0.416440292488372,88.2629074079089,0.885717280282839,0.799217306703111,0.86674056211434,0.168841775016927,0.316153460968145,0.394536444504662,90.258311021659,0.86674056211434,0.688911705576926,495,0.886399258444593
62_182,0.0100151235696289,0.0165409444382621,0.0848984813606371,0.435918589904026,0.477240338378672,103.578111790554,0.87224339537678,0.758886792358633,0.995560702577573,0.0113034226482452,0.0116816407551151,0.0152705167482465,0.42334400020369,0.52481465968442,121.016868234443,0.997263375323239,0.660482202030693,0.914261349865369,0.0392345105276955,0.380998734682854,0.496774177354684,111.838593281005,0.914261349865369,0.993445455398629,511,0.663314468960191
62_58,0.00372380223918127,0.0110067909968712,0.167335723373221,0.408271787398019,0.428575069275266,110.564376476787,0.69359536411556,0.919102024915178,0.939684983286948,0.035590017350065,0.0427819789531652,0.0602497450048164,0.38416904348762,0.463459608581103,107.457082652092,0.929046630021158,0.73645961709987,0.860317448708977,0.0822749731868008,0.341688700725612,0.492871333025599,91.5287460893893,0.860317448708977,0.908281059527025,515,0.635591392797802
62_359,0.00673820193111863,0.0138566634941781,0.111269897496893,0.471650355536604,0.418502992773246,103.548569334732,0.847896317260056,0.91543558200703,0.903698758111456,0.0594371653153008,0.0609942968872202,0.0293863978293862,0.379558363030476,0.469408642971924,104.365369517243,0.997494895416225,0.668045140633152,0.823740091600575,0.0537761379665548,0.35449420722645,0.447750450213656,90.5926317528083,0.823740091600575,0.993576455100333,509,0.705035871211094
62_175,0.00710099933027951,0.0142066100973204,0.105646261281676,0.46321306543307,0.432342637770677,111.931208996649,0.865047614467525,0.878890432249173,0.88887181294502,0.0294721842979744,0.0338154802481203,0.0520239487454914,0.377543597030557,0.471770001538398,103.828119677599,0.96597185258345,0.733971432127803,0.773218573593566,0.0717281505167563,0.350478156170737,0.443706571963937,84.5286486623357,0.773218573593566,0.97243519920734,507,0.751582363716513
62_169,0.00408141353793494,0.00947129959606226,0.0886077239253159,0.435782388091068,0.479140141090855,118.327419600173,0.885105759544874,0.774824368221324,0.896777384784737,0.0464175685547857,0.0481894279356702,0.0325434208923917,0.377593320791249,0.473747599205899,102.725747495564,0.997655223429642,0.690945124941936,0.864626042529798,0.0512344349081734,0.36687043648952,0.462488751477879,97.5890902614441,0.864626042529798,0.992069701691137,510,0.740851907421624
62_173,0.011246337347044,0.0234124038655258,0.169561237613281,0.422430513937449,0.404842902256853,101.106885461066,0.710314262629087,0.969834419509438,0.897530118413596,0.0421246315837762,0.0509999865085607,0.0825280992667046,0.355221216725252,0.441766382553831,95.5832165509946,0.912258151456935,0.776544505045389,0.758850068049626,0.110875772086654,0.332446316187842,0.415848019554707,74.6586437689077,0.758850068049626,0.880543635597335,507,0.818261347556
62_168,0.00484778499229761,0.0103974096092061,0.0879684889977028,0.449286583617945,0.46560339482613,115.107968014654,0.882519599238413,0.802324289574988,0.951829549371032,0.0316744785951533,0.0399537649027222,0.0747060886213188,0.367810577982281,0.449708403120224,103.193412802322,0.910122806213301,0.780842418413071,0.829591783113946,0.0596564593972877,0.365357560571203,0.460411126500014,92.3681005139076,0.829591783113946,0.960315989904865,512,0.733233630117824
62_151,0.0105692265323149,0.019028571445399,0.118448231315088,0.426806612752666,0.452221347593156,109.770839644946,0.846097518231387,0.827524355532461,0.81987710926736,0.0597098693325679,0.0724018268922036,0.112931950908049,0.329342520210079,0.410097022917241,78.1677707741711,0.861528702764933,0.820719490475594,0.750070931399441,0.148089060398497,0.307379150816872,0.405773002558776,71.9092112169668,0.750070931399441,0.797425288302523,501,0.836710592162602
62_94,0.00862697928361614,0.0180257287744838,0.141005233453343,0.442405230118212,0.416167548480566,101.29389756215,0.793793876692885,0.930214381742258,0.950934897145694,0.0251173225459369,0.0266832890886597,0.0245437667303973,0.394417985504037,0.494248575654193,114.479737251406,0.998509223435771,0.69550110189049,0.855074883953537,0.0716179056221162,0.350757994352626,0.449739243935037,93.27567912777,0.855074883953537,0.963405275182408,508,0.759071828578
62_18,0.00592878550155086,0.0128058768713564,0.0958621202214767,0.439598083350052,0.46625809570506,115.480439245819,0.86777332030571,0.799730712502143,0.86726991540714,0.0303493863806431,0.0358028353573511,0.0510250834820085,0.382955404874143,0.463033800894126,95.1107975297017,0.958985360859563,0.751349888569305,0.815895436287268,0.116510303975659,0.331430589978711,0.41009873748771,79.0785333488186,0.815895436287268,0.857888183014063,507,0.836575947779023
62_57,0.0131479894961893,0.0226085308853318,0.119899810106416,0.440241433559428,0.434705281797182,98.8802193812407,0.832860162507789,0.8659234129684,0.867160060186256,0.0401965379509358,0.0459369208227393,0.0729577168622542,0.359157315849835,0.450383455583255,96.0835725855116,0.945190745503988,0.759686638706406,0.813782635699486,0.0534501118339445,0.34509164897773,0.451721402504885,91.5917700599234,0.813782635699486,0.989176412574149,509,0.65391394858968
