id,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,fl_nectarvolume_uL,FNSC,FL_MG_SUCROSE,EFNSC,S1U_bract,S1V_bract,S1B_bract,S1G_bract,S1R_bract,S5_bract,H4_bract,B3_petal,S1U_petal,S1V_petal,S1B_petal,S1Y_petal,S1R_petal,S5_petal,H4_petal,B3_labellum,S1B_labellum,S1Y_labellum,S1R_labellum,S5_labellum,S6_labellum,H3_labellum,H4_labellum,F1parent
21_125,31,5.39666666666667,1,0,0,0,45.22,24.98,-2.14,35,7.48,52.8,25.24,3.42,50.66,9.8,6.24,2.58,3.04,42.78,22.976,11.488,29.9,3.36,5.8,0.0121649553056824,0.0227608244473504,0.147859579331494,0.475969543521989,0.372660611559892,95.0019868270539,1.03576763712882,0.829332811764255,0.0523765645930747,0.0638893143231555,0.107715079048766,0.339016128215598,0.428574986654184,89.4061570875947,0.786631323000136,0.732839482917813,0.136652484968991,0.322432541222125,0.409498788093357,74.8104722207298,0.732839482917813,502,0.838005602934159,39
21_046,26,5.88,1,1,56.95,7.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.46,17.23,29,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39
21_042,66,6.82,1,1,-,-,46.5,29.4,-1.2,19,7.3,55.5,21.6,8.8,54.3,9.4,6.2,2.9,3,46,50.36,25.18,26,6.55,2.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39
21_045,42.6666666666667,5.40333333333333,1,1,-,-,44.5,24.5,0.64,32,6.48,49.32,20.56,4,49.96,8.84,5.62,2.94,2.84,41.7,23.265,11.6325,31.25,3.69,3.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39
21_180,38.5,4.84,1,0,0,0,46.3666666666667,26.9,-0.9,16,7.83333333333333,51.7166666666667,24.25,5.86666666666667,50.8166666666667,8.68333333333333,6.28333333333333,2.71666666666667,2.56666666666667,40.7,19.506,9.753,31.7,3.08,4.8,0.00637876635646758,0.0131009701731254,0.102152286650682,0.47078489148042,0.428974024470389,110.320674846989,0.887540251972896,0.778689839708313,0.0523675555438087,0.0562382205870167,0.0467604241275635,0.368075456154029,0.463548383028837,89.7459914894727,0.698783750395512,0.759157843618662,0.111430576930123,0.332853743408788,0.42329712269691,80.0431605437446,0.759157843618662,504,0.795352497041863,39
21_185,33.3333333333333,5.06666666666667,1,1,-,-,48.75,31.425,-2.85,20,9.3,58.9,30.275,3.925,56.05,11,6.9,3.15,2.85,47.625,44.6142857142857,22.3071428571429,31.1428571428571,6.94,5,0.00641004760261022,0.0117389264294538,0.085325404600924,0.591049886819968,0.325428502239021,84.5354151479864,1.11121539937536,0.836522417943614,0.0535571879844709,0.056159192566454,0.0428075786616192,0.370960321724964,0.469373755011282,100.357732903477,0.682125455919976,0.795583737689347,0.10851017437063,0.33718758524442,0.432862902214929,87.9797834325948,0.795583737689347,504,0.778247143177683,39
21_033,42.2,4.592,1,1,2.1,4.16666666666667,46.4333333333333,29.8,-0.9,20,8.51666666666667,52.85,23.9833333333333,6.03333333333333,51.95,9.08333333333333,5.73333333333333,3.18333333333333,3.03333333333333,41.7166666666667,29.302,14.651,29.9,4.45,6.1,0.00764777311880351,0.0148573702650821,0.110144606058749,0.474620868165118,0.41589292511436,104.561067889343,0.919437515747965,0.682132128588086,0.0793685807264992,0.0836112102687518,0.0507127556990704,0.351800977762388,0.439153440230545,70.519717475295,0.688096799919154,0.773202632551675,0.100704107564555,0.342023873209026,0.423983196050636,78.9487223629415,0.773202632551675,506,0.829472877570745,39
21_028,45.25,5.1725,1,1,81.85,8.85,47.8,32.54,-3.2,33,10.8,56.66,24.42,7.3,53.58,9.54,5.68,2.92,2.9,41.62,33.64,16.82,31.75,5.35,4.6,0.00798137515475019,0.0146791374326869,0.115682490787914,0.467042249727168,0.417483996560803,98.2194427475521,0.916537712626493,0.72526234562368,0.061587125551168,0.0660608198461153,0.0616269604972069,0.349490156623914,0.438649769796477,75.9420063489872,0.737053697247577,0.674237445105126,0.158663804213213,0.305486108574812,0.382060845831207,60.8083333824917,0.674237445105126,496,0.915082970483688,39
21_041,29,5.875,1,1,57.85,6.25,43.68,28.1,-0.6,33,8.16,54.52,24.04,6.16,53.78,9.12,5.94,3,2.96,45.3,26.845,13.4225,32.25,4.38,1.6,0.00831128501065167,0.014540392714715,0.0766664748780425,0.540439187858106,0.382777226090591,93.4182873219925,0.977667678349906,0.900791709330102,0.0416613709163192,0.0475123133317315,0.0563201184112605,0.368071071385426,0.471627159156708,108.514624458455,0.705043215985771,0.761061508401342,0.0927459577218687,0.339914389859098,0.430270756533505,82.2743428220791,0.761061508401342,505,0.776342269024821,39
21_029,8,4.675,-,1,43.3,4.7,46.8,29.1,-3.95,20,7.95,54.925,27.825,8.775,50.95,10.575,5.825,2.65,2.425,41,20.698,10.349,35.2,3.64,2.4,0.00502895268002685,0.00977744745166812,0.0725892768112556,0.472991536031858,0.45733280606515,113.696373200258,0.817982197883041,0.874430263773664,0.0380665257802747,0.0404558990645223,0.036184914122573,0.377811228974247,0.483295698030796,106.026070026072,0.689351933052427,0.778847943606075,0.0806626567471307,0.347033545714368,0.438009243422316,84.1302434342401,0.778847943606075,506,0.773501660288371,39
