gel-well#,plate#,well#,PlantID,LabID,Concentration in plate,Qubit ng/uL,260/280,260/230,dilution calculations:,vol.DNA(ul),vol.H20(ul),Gel?,Notes,Qubit redo0,Qubit redo1,Qubit redo2,Dilution,Qbit ng/uL of dilution,NOTES,Nanodrop concentration
,7,E1,62 x 62 -57,21_095,10,10.3,1.93,2.28,,,,,,,,,1:10,1.03,,
,7,F1,62 x 62 -59,21_097,78,78.4,1.92,2.15,,,,,,,,,2:40,0.784,,
,7,G1,62 x 62 -60,21_098,18,17.8,1.92,2.32,,,,,,,,,1:10,1.78,,
,7,H1,62 x 62 -62,21_099,12.5,125,1.88,2.02,,,,,,,,,1:10,12.5,,
,7,A2,62 x 62 -282,21_108,16,15.9,1.9,2.35,,,,,,,,,1:10,1.59,,
,7,B2,62 x 62 -283,21_109,11.8,118,1.9,2.02,,,,,,,,,1:10,11.8,,
,7,C2,62 x 62 -284,21_110,12,11.8,1.89,2.29,,,,,,,,,1:10,1.18,,
,7,D2,62 x 62 -285,21_111,13.9,139,1.88,2.25,,,,,,,,,1:10,13.9,,
,7,E2,62 x 62 -286,21_112,14,140,1.88,2.24,,,,,,,,,1:10,14,,
,7,F2,39 x 39 -1,21_116,57,57,1.87,2.12,,,,,,,,,,,,
,7,G2,39 x 39 -2,21_117,54,54,1.85,2.22,,,,,,,,,,,,
,7,H2,39 x 39 -3,21_118,51,51,1.86,2.32,,,,,,,,,,,,
,7,A3,39 x 39 -4,21_119,79.6,79.6,1.85,2.26,,,,,,,,,1:10,7.96,,
,7,B3,39 x 39 -5,21_120,105,105,1.87,2.47,,,,,,,,,,,,
,7,C3,39 x 39 -6,21_121,10.8,108,1.87,2.54,,,,,,,,,1:10,10.8,did we end up using original or dilution for this one?,
,7,D3,39 x 39 -7,21_122,14.7,14.7,1.88,2.34,,,,,,,,,1:10,1.47,,
,7,E3,39 x 39 -9,21_124,19,185,1.87,2.49,,,,,,,,,1:10,18.5,,
,7,F3,39 x 39 -10,21_125,58,58,1.87,2.33,,,,,,,,,,,,
,7,G3,39 x 39 -11,21_126,56,56,1.87,2.38,,,,,,,,,,,,
,7,H3,39 x 39 -14,21_129,57,57,1.87,2.45,,,,,,,,,,,,
,7,A4,165_26d_141,22_150,48,48.4,2,2.42,,,,220907,"ME, AK",,,,,,,
,7,B4,165_26d_125,22_151,15,15,1.78,1.39,,,,220907,"ME, AK",,,,,,,
,7,C4,165_26c_146,22_152,41,40.7,1.69,2.64,,,,220907,"ME, AK",,,,,,,
,7,D4,165_26b_183,22_153,14,14.4,1.75,1.71,,,,220907,"ME, AK",,,,,,,
,7,E4,165_26d_165,22_154,9,9.42,1.71,1.59,,,,220907,"ME, AK",,,,,,,
,7,F4,165_26d_155,22_155,36,36.1,1.79,1.95,,,,220907,"ME, AK",,,,,,,
,7,G4,165_26c_160,22_156,44,43.5,1.84,2.15,,,,220907,"ME, AK",,,,,,,
,7,H4,165_26d_150,22_157,52,52,1.82,2.01,,,,220907,"ME, AK",,,,,,,
,7,A5,165_26c_131,22_158,7,7.03,1.76,1.72,,,,220907,"ME, AK",,,,,,,
,7,B5,165_26d_126,22_161,7,7.34,1.73,1.69,,,,220907,"ME, AK",,,,,,,
,7,C5,165_26c_130,22_162,13,too high,1.79,2.52,,,,220907,"ME, AK",,,,1:10,12.5,,
,7,D5,165_26c_145,22_163,60,60,1.83,2.18,,,,220907,"ME, AK",,,,,,,
,7,E5,165_26c_118,22_164,10,too high,1.76,2.42,,,,220907,"ME, AK",,,,1:10,9.64,,
,7,F5,165_26c_144,22_165,27,27,1.79,1.74,,,,220907,"ME, AK",,,,,,,
,7,G5,165_26d_153,22_166,12,11.7,1.78,1.81,,,,220907,"ME, AK",,,,,,,
,7,H5,165_26d_127,22_167,22,22.1,1.8,1.8,,,,220907,"ME, AK",,,,,,,
