gel-well#,plate#,well#,PlantID,LabID,Concentration in plate,Qubit ng/uL,260/280,260/230,dilution calculations:,vol.DNA(ul),vol.H20(ul),Gel?,Notes,Qubit redo0,Qubit redo1,Qubit redo2,Dilution,Qbit ng/uL of dilution,NOTES,Nanodrop concentration
12-Apr,9,A1,165_009_200,23_011 (3),16.39,16.39 x 5,1.79,2.11,,,,,,,,,,16.39,fine,
13-Apr,9,B1,165_009_195,23_012 (2),12.7,12.7,1.8,2.21,,,,,,,,,,12.7,fine,
14-Apr,9,C1,165_26C_226,23_013 (2),12.5,12.5,1.82,2.25,,,,,,,,,,12.5,fine,
15-Apr,9,D1,165_009B_196,23_014 (2),27.3,,1.81,2.28,,,,,,,,,,27.3,fine,116
16-Apr,9,E1,165_26C_229,23_015,56,56,1.81,2.3,,,,,,,,,,,fine,
17-Apr,9,F1,165_009_109,23_016,41.8,41.8,1.85,1.88,,,,,,,,,,,fine,
18-Apr,9,G1,165_009B_133,23_017,90.5,90.5,1.78,1.87,,,,,,,,,,8.11,fine,
20-Apr,9,H1,165_009_100,23_019,53,53,1.79,2.28,,,,,,,,,,,fine,
21-Apr,9,A2,165_16B_42,23_020 (3),16.49,16.49 x 5,1.82,2.35,,,,,,,,,,16.49,fine,109.1
22-Apr,9,B2,165_009_176,23_021 (2),12.4,86.4,1.84,2.54,,,,,,,,,,12.4,fine,
23-Apr,9,C2,165_16B_38,23_022 (3),17.94,17.94 x 5,1.79,1.78,,,,,,,,,,17.94,fine,
24-Apr,9,D2,165_009B_64,23_023,29.5,29.5,1.8,1.77,,,,,,,,,,,fine,
25-Apr,9,E2,165_009B_72,23_024 (2),18,,1.83,2.35,,,,,,,,,,18,fine,108.7
26-Apr,9,F2,165_009_107,23_025 (2),21.2,,1.83,2.33,,,,,,,,,,21.2,fine,129.6
28-Apr,9,G2,165_009B_178,23_027,23.7,23.7,1.82,2.38,,,,,,,,,,,fine,
29-Apr,9,H2,165_025_07,23_028 (2),19.3,,1.83,2.25,,,,,,,,,,19.3,fine,160.6
30-Apr,9,A3,165_26D_217,23_029 (2),13.1,,1.85,2.4,,,,,,,,,,13.1,fine,165.4
Apr-33,9,B3,165_009_82,23_032 (2),19.5,211,1.83,2.3,,,,,,,,,,19.5,fine,
Apr-35,9,C3,165_009_76,23_034,36.9,36.9,1.82,2.17,,,,,,,,,,,fine,
Apr-38,9,D3,165_009B_160,23_037,57,57,1.81,2.21,,,,,,,,,,,fine,
Apr-39,9,E3,165_009B_150,23_038 (2),18,,1.83,2.48,,,,,,,,,,18,fine,147.4
Apr-42,9,F3,165_009_93,23_040 (2),18,,1.83,2.39,,,,,,,,,,18,fine,133.5
2-May,9,G3,165_009_110,23_041 ,79.1,79.1,1.82,2.23,,,,,,,,,,7.61,fine,
3-May,9,H3,165_009_95,23_042,26.1,26.1,1.74,1.96,,,,,,,,,,,fine,
5-May,9,A4,165_009B_140,23_044,30.6,30.6,1.78,2.37,,,,,,,,,,,fine,
6-May,9,B4,165_009_106,23_045,12.5,12.5,1.75,1.96,,,,,,,,,,,fine,
7-May,9,C4,165_009B_192,23_046,34.6,34.6,1.82,2.4,,,,,,,,,,,fine,
8-May,9,D4,165_009B_199,23_047,36.6,36.6,1.8,2.2,,,,,,,,,,,fine,
10-May,9,E4,165_009B_124,23_049 (3),21.67,21.67 x 5,1.83,2.37,,,,,,,,,,21.67,fine,110.6
11-May,9,F4,165_009_114,23_050 (2.1),14.6,,1.82,2.33,,,,,,,,,,14.6,fine,132.4
12-May,9,G4,165_009_104,23_051 (3),33.64,33.64 x 5,1.83,2.37,,,,,,,,,,33.64,fine,164.5
13-May,9,H4,165_009_112,23_052 (2),11.1,,1.82,2.21,,,,,,,,,,11.1,fine,109.4
14-May,9,A5,165_26e_219,23_054 (2.1),14.5,,1.84,2.03,,,,,,,,,,14.5,fine,162.2
15-May,9,B5,165_025_17,23_055 (2.1),13.6,,1.83,2.2,,,,,,,,,,13.6,fine,158.2
16-May,9,C5,165_025_21,23_056,13.9,13.9,1.82,2.12,,,,,,,,,,,fine,
19-May,9,D5,165_016_15,23_059,97.6,97.6,1.83,2.01,,,,,,,,,,9.79,use  OG - estimate conc. from dilution,100.9
20-May,9,E5,165_016_03,23_060,82.1,82.1,1.84,2.34,,,,,,,,,,8.21,use  OG - estimate conc. from dilution,108.8
21-May,9,F5,165_009_90,23_061 (2.1),13,,1.83,2.19,,,,,,,,,,13,fine,120.5
22-May,9,G5,165_009_51,23_062,30.2,30.2,1.81,2.08,,,,,,,,,,,fine,
23-May,9,H5,165_009_75,23_063 (2),10.9,,1.83,2.3,,,,,,,,,,10.9,fine,111.1
25-May,9,A6,165_009_98,23_066,74.3,74.3,1.8,2.07,,,,,,,,,,5.32,fine,
26-May,9,B6,165_009_105,23_067 (2),13.5,127.5,1.83,2.26,,,,,,,,,,13.5,fine,
28-May,9,C6,165_009_113,23_069,17.7,17.7,1.82,2.01,,,,,,,,,,,fine,
30-May,9,D6,165_009B_106,23_071,52,52,1.81,2.24,,,,,,,,,,,fine,
31-May,9,E6,165_009B_67,23_072,48.2,48.2,1.81,2.15,,,,,,,,,,,fine,
May-32,9,F6,165_009B_139,23_073,97,97,1.82,2.17,,,,,,,,,,8.02,fine,
May-33,9,G6,165_25_03,23_074,83.9,83.9,1.83,2.17,,,,,,,,,,7.56,fine,
May-34,9,H6,165_25_14,23_075 (2),12.6,,1.79,1.84,,,,,,,,,,12.6,fine,125.4
May-35,9,A7,165_26_223,23_076,60,60,1.8,2.15,,,,,,,,,,,fine,
May-36,9,B7,165_009B_182,23_077,58,58,1.78,2.12,,,,,,,,,,,fine,
May-37,9,C7,165_009_96,23_078,53,53,1.76,1.7,,,,,,,,,,,fine,
May-38,9,D7,165_009B_181,23_079 (2),11.8,,1.8,2.1,,,,,,,,,,11.8,fine,118.4
May-39,9,E7,165_009_165,23_080 (3),25.31,25.31 x 5,1.81,2.14,,,,,,,,,,25.31,fine,103.1
May-41,9,F7,165_009B_193,23_081 (2),11.9,,1.79,1.96,,,,,,,,,,11.9,fine,128.1
May-42,9,G7,165_009_58,23_082 (2),9.66,,1.79,2.14,,,,,,,,,,9.66,fine,103.1
May-43,9,H7,165_009B_184,23_083,85.2,85.2,1.8,2.09,,,,,,,,,,6.79,fine,
May-44,9,A8,165_009_88,23_084 (2),18.2,,1.81,2.2,,,,,,,,,,18.2,fine,164.2
May-45,9,B8,165_009_189,23_085,75.8,75.8,1.77,1.83,,,,,,,,,,5,fine,
May-46,9,C8,165_009B_151,23_086 (2),14.1,,1.81,2.27,,,,,,,,,,14.1,fine,139.8
May-47,9,D8,165_009B_147,23_087,76.4,76.4,1.76,1.77,,,,,,,,,,5.15,fine,
May-48,9,E8,165_009B_167,23_088,20.7,20.7,1.69,1.72,,,,,,,,,,,fine,
May-50,9,F8,165_009B_166,23_090,67.9,67.9,1.79,2.06,,,,,,,,,,,fine,
May-52,9,G8,165_009B_157,23_092(3),19.96,99.8,1.8,2.19,,,,,,,,,,8.2,fine,
May-55,9,H8,165_009_173,23_095,21.1,21.1,1.74,1.54,,,,,,,,,,,fine,
May-57,9,A9,165_009B_122,23_097,9.46,9.46,1.83,2.25,,,,,,,,,,,CHECK - is this actually of the dilution? says dilution on plate,
May-58,9,B9,165_009B_179,23_098,28.1,28.1,1.8,1.74,,,,,,,,,,,fine,
May-59,9,C9,165_009B_183,23_099,39.7,39.7,1.82,1.88,,,,,,,,,,,fine,
May-60,9,D9,165_009_187,23_100 (3),29.12,29.12 x 5,1.76,1.62,,,,,,,,,,29.12,fine,146.1
May-61,9,E9,165_009B_171,23_101,44.1,44.1,1.78,1.8,,,,,,,,,,,fine,
May-64,9,F9,165_009_146,23_104,45.5,45.5,1.79,1.8,,,,,,,,,,,fine,
May-65,9,G9,165_009_185,23_105 (3),38.43,38.43 x 5,1.83,2.17,,,,,,,,,,38.43,fine,
May-66,9,H9,165_009B_152,23_106 (3),28.94,28.94 x 5,1.82,2.18,,,,,,,,,,28.94,fine,
May-67,9,A10,165_009_136,23_107 (3),35.69,35.69 x 5,1.8,1.94,,,,,,,,,,35.69,fine,
May-68,9,B10,165_009B_155,23_108 (3),18.82,18.82 x 5,1.81,1.97,,,,,,,,,,18.82,fine,
May-70,9,C10,165_009_102,23_110 (2),19.6,,1.84,2.27,,,,,,,,,,19.6,fine,164.3
May-72,9,D10,165_26D_213,23_112,66.8,66.8,1.81,1.97,,,,,,,,,,,fine,
May-74,9,E10,165_009B_112,23_114,19.3,19.3,1.79,1.55,,,,,,,,,,,fine,
May-75,9,F10,165_009_111,23_115,18.6,18.6,1.79,1.52,,,,,,,,,,,fine,
May-76,9,G10,165_009_87,23_116,27.1,27.1,1.82,1.71,,,,,,,,,,,fine,
May-77,9,H10,165_009B_156,,51,51,1.83,1.83,,,,,,,,,,,fine,
4-Jun,9,A11,165_009_164,23_122,16.8,16.8,1.81,2.28,,,,,,,,,,,fine,
5-Jun,9,B11,165_009B_116,23_123,40.6,40.6,1.72,2.1,,,,,,,,,,,fine,
6-Jun,9,C11,165_25_24,23_124,42,42,1.76,2.01,,,,,,,,,,4.96,fine,
11-Jun,9,D11,165_009B_169,23_129 (3),39.57,39.57 x 5,1.84,2.32,,,,,,,,,,39.57,fine,
25-Jun,9,E11,165_009B_138,23_131 (3),34.01,34.01 x 5,1.83,2.3,,,,,,,,,,34.01,fine,
13-Jun,9,F11,165_009_134,23_133 (3),15.54,15.54 x 5,1.79,2.14,,,,,,,,,,15.54,fine,
15-Jun,9,G11,165_009_188,23_135 (2),13.1,,1.81,2.2,,,,,,,,,,13.1,fine,114.9
16-Jun,9,H11,165_009_194,23_136 (2),15.3,,1.82,2.22,,,,,,,,,,,fine,130.2
17-Jun,9,A12,165_26E_221,23_137,43,43,1.77,1.99,,,,,,,,,,,fine,
18-Jun,9,B12,165_26B_222,23_138,36,36,1.8,2.17,,,,,,,,,,,fine,
19-Jun,9,C12,165_009B_143,23_139 (3),22.69,22.69 x 5,1.8,2.24,,,,,,,,,,22.69,fine,103.7
22-Jun,9,D12,165_009B_34,23_142,40.6,40.6,1.77,2.13,,,,,,,,,,,fine,
23-Jun,9,E12,165_009_24,23_143,50,50,1.75,2.07,,,,,,,,,,,fine,
24-Jun,9,F12,165_26B_211,23_144 (3),20,20 x 5,1.8,2.15,,,,,,,,,,20,fine,
2-Jul,9,G12,165_019_12,23_145,27.9,27.9,1.81,1.66,,,,,,,,,,,fine,
3-Jul,9,H12,165_019_13,23_146 (2),11.5,,1.82,2.18,,,,,,,,,,11.5,fine,136.3
14-Jul,10,A1,165_019_09,23_156,43.4,43.4,1.79,2.11,,,,,,,,,,,fine,
15-Jul,10,B1,165_009_213,23_157,39.5,39.5,1.79,2.13,,,,,,,,,,,fine,
16-Jul,10,C1,165_26B_237,23_158 (2),10.9,,1.81,2.25,,,,,,,,,,10.9,fine,110.1
17-Jul,10,D1,165_009_220,23_159 (2),10.5,,1.82,2.26,,,,,,,,,,10.5,fine,103.5
18-Jul,10,E1,165_009_210,23_160,46,46,1.8,2.13,,,,,,,,,,,fine,
19-Jul,10,F1,165_019_27,23_161 (2),13.4,,1.82,2.22,,,,,,,,,,13.4,fine,133.5
20-Jul,10,G1,165_019_16,23_162,49.6,49.6,1.8,2.2,,,,,,,,,,,fine,
22-Jul,10,H1,165_009B_32,23_164 (2),10.7,,1.81,2.19,,,,,,,,,,10.7,fine,109.9
23-Jul,10,A2,165_009B_7,23_165 (2),14.4,,1.82,2.2,,,,,,,,,,,fine,140.9
25-Jul,10,B2,165_009_22,23_167 (2),8.88,,1.83,2.22,,,,,,,,,,8.88,fine,121.4
26-Jul,10,C2,165_009B_31,23_168,67.8,,1.81,1.94,,,,,,,,,,6.78,fine,101.9
27-Jul,10,D2,165_009_27,23_169,57,57,1.83,2.05,,,,,,,,,,,fine,
28-Jul,10,E2,165_009B_69,23_170,59,59,1.81,2.18,,,,,,,,,,,fine,
29-Jul,10,F2,165_009B_11,23_171 (2),10.3,,1.83,2.24,,,,,,,,,,10.3,fine,104.2
30-Jul,10,G2,165_009B_10,23_172 (2),13.6,,1.83,2.26,,,,,,,,,,13.6,fine,135.9
Jul-32,10,H2,165_009_83,23_173,10.9,10.9,1.81,1.76,,,,,,,,,,,fine,
Jul-33,10,A3,165_009_49,23_174,58,58,1.81,2.06,,,,,,,,,,,fine,
Jul-35,10,B3,165_009B_36,23_176 (3),13.61,13.61 x 5,1.79,2.11,,,,,,,,,,,fine,
Jul-36,10,C3,165_009B_111,23_177,36.3,36.3,1.78,1.92,,,,,,,,,,,fine,
Jul-37,10,D3,165_009B_60,23_178,59,59,1.8,2.09,,,,,,,,,,,fine,
Jul-38,10,E3,165_009B_42,23_179,8.73,8.73,1.81,2.19,,,,,,,,,,,fine,
Jul-39,10,F3,165_009_46,23_180 (3),14.49,14.49 x 5,1.8,2.07,,,,,,,,,,14.49,fine,
Jul-40,10,G3,165_009B_33,23_181 (3),15.35,15.35 x 5,1.78,1.98,,,,,,,,,,15.35,fine,
Jul-41,10,H3,165_009B_9,23_182 (3),16.84,16.84 x 5,1.8,2.18,,,,,,,,,,16.84,fine,
Jul-42,10,A4,165_009_21,23_183,38.4,38.4,1.78,2.02,,,,,,,,,,,fine,
Jul-43,10,B4,165_009B_28,23_184 (3),12.3,12.30 x 5,1.79,2.09,,,,,,,,,,12.3,fine,
Jul-44,10,C4,165_009_53,23_185 (3),17.95,17.95 x 5,1.81,2.21,,,,,,,,,,17.95,fine,
Jul-45,10,D4,165_009_23,23_186 (3),17.38,17.38 x 5,1.82,2.21,,,,,,,,,,17.38,fine,
Jul-46,10,E4,165_26E_194,23_187,38,38,1.78,2.04,,,,,,,,,,,fine,
Jul-47,10,F4,165_26B_208,23_188 (3),18.62,18.62 x 5,1.81,2.17,,,,,,,,,,18.62,fine,
Jul-48,10,G4,165_26E_202,23_189 (3),12.75,12.75 x 5,1.8,2.14,,,,,,,,,,12.75,fine,
Jul-49,10,H4,165_26C_195,23_190,25.6,25.6,1.79,1.96,,,,,,,,,,,fine,
Jul-50,10,A5,165_009B_4,23_191 (2),13.5,,1.83,2.22,,,,,,,,,,13.5,fine,
Jul-51,10,B5,165_26B_193,23_192 (3),16.31,16.31 x 5,1.81,2.16,,,,,,,,,,,fine,
2-Aug,10,C5,165_009B_8,23_193,45.3,45.3,1.81,2.23,,,,,,,,,,,fine,
3-Aug,10,D5,165_009_12,23_194 (2),11.7,,1.81,2.21,,,,,,,,,,11.7,fine,110.5
4-Aug,10,E5,165_009B_02,23_195 (2),11.6,,1.82,2.27,,,,,,,,,,11.6,fine,106.5
5-Aug,10,F5,165_26D_197,23_196,8.95,8.95,1.69,1.32,,,,,,,,,,,fine,
7-Aug,10,G5,165_009_15,23_198,49.8,49.8,1.8,2.01,,,,,,,,,,,fine,
8-Aug,10,H5,165_009_99,23_199 (2),11.5,,1.8,2.18,,,,,,,,,,11.5,fine,115.1
9-Aug,10,A6,165_009_19,23_200,50,50,1.76,1.89,,,,,,,,,,,fine,
10-Aug,10,B6,165_009B_105,23_201,44.8,44.8,1.76,1.93,,,,,,,,,,,fine,
11-Aug,10,C6,165_009B_114,23_202,52,52,1.77,2,,,,,,,,,,,fine,
12-Aug,10,D6,165_009B_59,23_203,20.7,20.7,1.75,1.65,,,,,,,,,,,fine,
13-Aug,10,E6,165_26C_209,23_204,47.6,47.6,1.76,1.92,,,,,,,,,,,fine,
14-Aug,10,F6,165_009_85,23_205 (2),8.72,97.1,1.8,2.09,,,,,,,,,,8.72,fine,
15-Aug,10,G6,165_019_19,23_206,44,44,1.76,1.88,,,,,,,,,,,fine,
May-69,10,H6,9b_168,23_109,16.5,16.5,1.67,1.28,,,,,,,,,,,fine,
27-Aug,10,A7,165_26_55,23_226 (3),25.8,25.8 X 3,1.87,2.21,,25.8 x 5,,,,,,,,,fine,
Aug-33,10,B7,165_26_58,23_231,54,54,1.85,2.16,,,,,,,,,,,fine,
3-Dec,10,C7,165_26_70,22_049,3.84,3.84,1.54,1.63,,,,,,,,,,,needs gel,
18-Nov,10,D7,165_26B_75,22_051,15.3,15.3,1.68,1.93,,,,,,,,,,,fine (not key and looks like nothing on gel...),
21-Nov,10,E7,165_26B_12,22_075,36.7,36.7,1.87,2.3,,,,,,,,,,,"ALSO 22_106! Gel for this extaction looks empty, look at 22_106?",
20-Aug,10,F7,165_26B_11,23_219,33.5,33.5,1.81,2.27,33.5,,,,,,,,,,fine,
12-Jun,10,G7,165_009B_121,23_130,16.7,16.7,1.57,1.44,,,,,,,,,,,fine,
29-Aug,10,H7,165_26_01,23_228,40.3,40.3,1.85,1.94,,,,,,,,,,,fine,
21-Aug,10,A8,165_26B_82,23_220 (3),25.5,25.5 x 5,1.82,2.26,1.82,2.26,,25.5 x 5,1.82,2.26,,25.5 x 5,,,fine,
30-Aug,10,B8,165_26D_206,23_229 (3),20.3,20.3 x 5,1.87,2.27,,,,,,,,,,,fine,
28-Aug,10,C8,165_26C_200,23_227,46.3,46.3,1.88,2.2,,,,,,,,,,,fine,
3-Jan,10,D8,165_009B_43,22_223,7.87,7.87,1.79,1.29,,,,,,,,,,,fine,
4-Jan,10,E8,165_009_57,22_224,4.4,4.4,1.83,1.7,,,,,,,,,,,fine,
5-Jan,10,F8,165_009_78,22_225,5.16,5.16,1.85,1.85,,,,,,,,,,,fine,
10-Jan,10,G8,165_26B_212,22_230,2,2,1.5,0.82,,,,,,,,,,,fine; nothing on gel; but important sample,
12-Jan,10,H8,165_009_18,22_232,7.77,7.77,1.76,1.33,,,,,,,,,,,fine,
13-Jan,10,A9,165_009B_127,22_233,5.41,5.41,1.65,1.06,,,,,,,,,,,fine,
Mar-54,10,B9,165_16B_37,22_315 (3),20.9,20.9 x 5,1.77,1.71,,,,,,,,,,,fine,
16-Aug,10,C9,165_16B_34,23_215,38.5,38.5,1.86,2.2,,,,,,,,,,,fine,
27-Apr,10,D9,165_009B_118,23_026,4.91,4.91,1.84,2.37,,,,,,,,,,,fine,
Apr-31,10,E9,165_26D_216,23_030,2.77,2.77,1.69,2.27,,,,,,,,,,,very faint on gel but probably fine; important sample,
Apr-32,10,F9,165_26B_215,23_031,5.42,5.42,1.74,1.69,,,,,,,,,,,very faint on gel but probably fine; important sample,
9-May,10,G9,165_009B_63,23_048,4.2,4.2,1.61,3.9,,,,,,,,,,,"very faint on gel, NOT an important sample",
26-Aug,10,H9,165_016_20,23_225 (3),20.6,20.6 x 5,1.86,2.22,,,,,,,,,,,fine,
24-May,10,A10,165_009_94,23_064,5.14,5.14,1.61,1.01,,,,,,,,,,,"very faint on gel, NOT an important sample",
29-May,10,B10,165_009_186,23_070 (3),18.1,18.1,1.82,2.2,,,,,,,,,,,fine,
Aug-32,10,C10,165_009B_154,23_230,45.5,45.5,1.85,2.09,,,,,,,,,,,fine,
May-53,10,D10,165_009B_161,23_093,11.8,11.8,1.5,0.68,,,,,,,,,,,fine,
May-71,10,E10,165_26D_218,23_111,3.85,3.85,1.59,0.72,,,,,,,,,,,fine,
23-Aug,10,F10,165_009B_107,23_222 (3),22.5,22.5 x 5,1.85,2.25,,,,,,,,,,,fine,
8-Jun,10,G10,165_009_103,23_126,11.8,11.8,1.4,1.18,,,,,,,,,,,fine,
10-Jun,10,H10,165_009_163,23_128,13,13,1.45,1.36,,,,,,,,,,,fine,
20-Jun,10,A11,165_009_137,23_140,41.7,41.7,1.77,2.13,,,,,,,,,,,fine,
25-Aug,10,B11,165_009_212,23_224 (3),10.5,10.5 x 5,1.89,2.27,,,,,,,,,,,fine,
24-Jul,10,C11,165_009_25,23_166 (3),32.82,32.82 x 5,1.83,2.24,,,,,,,,,,,fine,
17-Aug,10,D11,165_009_89,23_216,21.4,21.4,1.79,1.82,,,,,,,,,,,fine,
11-Oct,10,E11,165_26B_14,22_033,16.2,16.2,1.71,1.99,,,,,,,,,,,sequenced on plate 5 but didn't get good data - reseq,
6-Dec,10,F11,165_25B_50,23_246,46.7,46.7,1.84,1.84,,,,,,,,,,,fine,
14-Jun,10,G11,165_009_135,23_134,48.2,48.2,1.68,1.43,,,,,,,,,,,fine,
May-73,10,H11,165_009B_115,23_113,13.8,13.8,1.84,1.32,,,,,,,,,,,fine,
13-Jul,10,A12,165_009B_214,23_155 (3),24.69,24.69 x 5,1.8,2.17,,,,,,,,,,24.69,fine,103.8
12-Jul,10,B12,165_009B_216,23_154,24.4,24.4,1.73,1.84,,,,,,,,,,,fine,
11-Jul,10,C12,165_019_23,23_153,51,51,1.78,2.07,,,,,,,,,,,fine,
10-Jul,10,D12,165_019_18,23_152 (3),29.13,29.13 x 5,1.82,2.14,,,,,,,,,,29.13,fine,
8-Jul,10,E12,165_019_15,23_151,9.26,9.26,1.81,2.23,,,,,,,,,,,fine,
7-Jul,10,F12,165_026B_233,23_150,46.3,46.3,1.78,2.03,,,,,,,,,,,fine,
5-Jul,10,G12,165_019_14,23_148,31.5,31.5,1.71,1.71,,,,,,,,,,,fine,
4-Jul,10,H12,165_025B_57,23_147,33.6,33.6,1.8,2.08,,,,,,,,,,,fine,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,could add:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
15-Nov,10,H7,165_26_37,22_042,9.54,9.54,1.66,0.74,,,,,,,,,,,,
